,Actor name,Trends score
1809,Courteney Cox,104838.70967741936
438,Woody Allen,104775.15067222994
19,Nassar,104678.0917091246
28,Evan Peters,104443.4264773248
1155,Emma Roberts,103865.859338612
29,Jessica Simpson,103805.66827832806
15,George Harrison,103799.81464318812
20,David Warner,103751.73691523852
34,John Jones,103495.8601655934
1156,Shia LaBeouf,103400.09315323706
800,Sophia Loren,103207.81032078103
30,Anthony Hopkins,102611.08566193312
2866,James Franco,102245.58050645006
801,Michael Keaton,101813.11018131104
3303,Winona Ryder,101416.17176793056
19,Jordan Price,101243.33925399646
16,Michael Scott,100556.07043558852
26,Cameron Boyce,98488.31882730187
35,Stanley Tucci,98345.58823529413
4180,Elizabeth Taylor,98118.27956989247
30,Steve Martin,98075.16040329974
27,Rachel McAdams,98030.23362345395
36,Tom Selleck,97841.06568672486
1157,Helen Mirren,97810.89892873778
28,Ricky Gervais,97114.06321575814
439,Jessica Chastain,96893.8340287436
3712,Jimmy Kimmel,96847.8757423481
1158,Bill Murray,96413.60037261296
3713,Dennis Rodman,96391.04613978985
1501,Paul Newman,96083.78870673952
37,Bryan Cranston,94669.11764705884
4181,Emma Thompson,94534.05017921148
21,Marlon Brando,94488.18897637796
19,Bill Burr,94155.84415584416
1159,Steve Carell,94084.76944573825
31,David Tennant,93950.50412465628
29,Peter Gabriel,93449.3815849748
2278,Eva Green,93110.87190527449
19,Rob Lowe,92888.88888888888
1160,Michael Gambon,92846.27092846272
38,Jodie Foster,92830.88235294116
2867,Ian Somerhalder,92778.57484457198
39,Hilary Duff,92328.8929719798
802,Sanjay Dutt,92050.20920502092
20,Sydney Park,92000.0
21,Anna Kendrick,92000.0
1502,Chevy Chase,91530.05464480874
1504,Chris Pine,91530.05464480874
1503,Jason Bateman,91530.05464480874
40,Christina Ricci,90992.64705882352
17,Robert Redford,90824.8378127896
2279,Cole Sprouse,90419.80624327232
22,Michelle Pfeiffer,90319.5924038907
440,Angela Bassett,89939.7311080204
803,Shilpa Shetty,89725.70897257091
22,Chris Smith,89333.33333333334
1161,John Abraham,88985.08898508898
30,Anthony Edwards,88868.52954649564
1810,Naomi Campbell,88709.67741935485
4182,Johnny Hallyday,88340.80717488789
32,Treat Williams,87417.21854304636
1812,Kristen Bell,87365.59139784946
1811,Jack White,87365.59139784946
3304,James Corden,87254.45408862495
4183,Kate Beckinsale,86917.56272401435
1813,Tony Hawk,86917.56272401435
41,Alanis Morissette,86816.72025723473
2280,Saif Ali Khan,86605.70199031736
31,Brittany Murphy,86578.10352725608
20,Dave Grohl,86270.8719851577
42,Viola Davis,85937.5
2281,Kurt Russell,85529.85476062399
43,Jennifer Love Hewitt,85517.24137931033
3714,Dakota Fanning,85427.13567839196
18,Seth Rogen,85264.13345690454
23,Tom Sizemore,85224.64103751737
19,Troye Sivan,84840.05563282335
44,Jude Law,84784.6012832264
32,Coolio,84745.7627118644
24,Albert Hall,84298.28624363132
33,Jensen Ackles,84099.26470588236
3305,Anil Kapoor,84056.64687071722
45,Katie Holmes,83944.95412844038
2868,AC/DC,83692.01339072215
804,Edward Norton,83217.10832171084
805,Whoopi Goldberg,83217.10832171084
31,John Krasinski,82913.42189647273
441,Dwight Howard,82522.02132591562
1814,Katherine Heigl,81989.24731182796
20,Fergie,81556.99721964782
1815,Stan Lee,81541.21863799283
25,Mumtaz,81519.22186197314
23,Paul Simon,81333.33333333333
2869,James Gunn,81223.12470138556
1816,Cindy Crawford,81093.18996415772
442,Jessica Biel,80667.59388038944
33,Jane How,80622.99587723317
20,Jennette McCurdy,80480.21342819031
34,Ethan Hawke,80459.77011494253
21,Jesse James,80241.18738404453
21,Miles Teller,80166.82113067656
32,Valentino Rossi,80164.91067338524
46,ABK,79963.23529411765
34,Neil Diamond,79706.82546953733
3715,Benedict Cumberbatch,79488.35084513477
21,Guy Ritchie,79146.28723877278
22,Bill Cosby,78849.72170686456
47,Oscar Isaac,78826.76443629699
35,Kyle Richards,78548.46118511714
2282,Tim Curry,78040.90419806245
2283,Dylan Sprouse,77998.92415277031
48,Amy Adams,77629.76573265962
24,Theo James,77483.67773957591
49,Uma Thurman,77451.8790100825
443,Dick Van Dyke,77422.34585071859
2871,Armie Hammer,77400.86000955566
2870,Mads Mikkelsen,77400.86000955566
36,Gabrielle Union,77241.37931034481
23,Aaron Carter,76994.43413729129
50,Leonard Cohen,76535.2887259395
35,Don Omar,76500.22904260192
444,Dwyane Wade,76495.13212795548
1817,Andrew Jackson,76164.87455197133
36,Jammer,76042.14383875401
22,James Jones,75996.29286376273
51,Sean Penn,75862.06896551723
52,Dave Matthews,75688.07339449541
37,Bill Maher,75653.37001375515
23,Rebel Wilson,75532.90083410565
2872,Sarah Jessica Parker,75489.7276636407
3716,Hilary Swank,75376.88442211055
38,Shannen Doherty,75125.97343105817
37,Betty White,75125.97343105817
445,Queen Latifah,75104.31154381085
25,Harry Taylor,75077.74322523322
26,Willem Dafoe,75034.73830477074
24,Bobby Lee,74675.3246753247
39,Zooey Deschanel,74667.88822721026
27,Patrick Dempsey,74571.5609078277
3717,Triple H,74463.22521699406
24,Paul Reubens,74332.1718931475
2284,Rowan Atkinson,74273.41227125943
25,David Lee,74211.50278293136
22,Ice T,74156.3055062167
25,Reba McEntire,74142.72474513439
26,Amy Schumer,73713.49095966619
806,Terry Crews,73454.20734542074
38,Amanda Seyfried,73327.22273143905
2873,Liv Tyler,73100.81223124702
33,Belladonna,72835.5474118186
807,Michael Caine,72490.7063197026
53,Ringo Starr,72410.63244729607
1505,Peter New,72404.37158469945
23,Nae,72380.10657193606
40,John Hopkins,72377.46220797069
3718,Vera Wang,72179.07720420283
4184,Goldie Hawn,71748.87892376681
39,Bam Margera,71724.13793103448
41,Cyndi Lauper,71461.29180027485
42,Ludacris,71461.29180027485
4185,Yoko Ono,71236.55913978495
54,Tom Felton,71231.61764705883
24,Hayley Atwell,70603.90763765541
40,Gary Oldman,70577.45187901008
43,Alicia Silverstone,70545.12139257902
27,Carol Burnett,70435.58850787766
2874,Graham Norton,70234.11371237459
44,Red West,70087.0361887311
55,Tim Allen,69724.77064220184
41,Ellen DeGeneres,69202.5664527956
45,Susan Sarandon,69170.86578103527
47,Rami Malek,68712.78057718737
46,Kevin Murphy,68712.78057718737
446,Jerry Lewis,68613.81548446917
25,Jordan Peele,68383.65896980462
26,Billy Graham,68181.81818181819
3306,Ewan McGregor,67610.78117862038
56,Sigourney Weaver,67555.14705882352
34,Kirsten Dunst,67338.5249656436
2285,Shemar Moore,67240.45185583648
1818,Sarah Paulson,67204.30107526881
28,Hayden Christensen,67160.72255673923
3307,Rachel Weisz,67153.95157606213
58,Robert Plant,67064.76802939826
57,Amber Rose,67064.76802939826
48,Mindy Kaling,66880.4397617957
35,Sasha Grey,66422.35455794778
28,Retta,66265.06024096385
59,Aaron Paul,66206.89655172414
1506,Matt Walsh,66029.14389799636
60,Javier Bardem,65994.50045829515
447,Michelle Rodriguez,65832.17431617988
808,Brian Cox,65550.90655509065
42,Drake Bell,65536.20531622364
3719,Martin Lawrence,65326.633165829146
2286,LL Cool J,65123.78902045211
2875,Helena Bonham Carter,64978.49976110846
809,Elle Fanning,64621.10646211065
1819,Michael Cera,64516.12903225807
1820,Hayden Panettiere,64516.12903225807
3720,Andy Griffith,64412.973960712654
26,Barry Manilow,64387.21136767318
49,Redman,64131.9285387082
27,Iggy Pop,63971.568191914695
28,Jack Johnson,63499.11190053286
29,Carrie Fisher,63455.303381195
1507,Luke Perry,63296.90346083788
43,Erykah Badu,63244.72960586619
3721,Black Child,63042.48515303791
37,Lauren London,62757.67292716445
36,Chloe Bailey,62757.67292716445
2876,Mike White,62589.58432871476
3722,Burt Reynolds,62585.65555047967
30,Christopher Walken,62528.94858730895
44,Stephen Colbert,62528.7356321839
61,Bill English,62328.13932172319
50,Rob Schneider,62299.58772331653
3308,Dolph Lundgren,62128.82594792143
448,Michelle Williams,62123.31942512749
2287,William Shatner,61894.51022604952
810,Gillian Anderson,61831.706183170616
449,Sam Elliott,61659.71256374593
1162,Maggie Smith,61481.13646949231
3723,Jennifer Hudson,61215.16674280493
31,Sharon Tate,61167.74791473587
2878,George Lopez,61156.23506927855
2877,Diane Keaton,61156.23506927855
1821,Marion Cotillard,60931.89964157707
45,Bryce Dallas Howard,60689.6551724138
32,Christopher Reeve,60676.23899953682
46,Sally Field,60661.76470588236
62,Denise Richards,60633.899862195685
811,Naomi Watts,60437.00604370061
2879,Vince Vaughn,60200.66889632107
63,Nick Cave,60174.55213596693
51,Bill Hader,60009.16170407696
29,Pras,59893.52262644189
3724,Natasha Lyonne,59844.67793513019
1822,Marisa Tomei,59587.81362007168
26,Bernie Sanders,59529.098178587294
29,Wordsworth,59314.17979610751
47,Busta Rhymes,59283.08823529412
64,Tommy Lee Jones,59283.08823529412
1508,Alyssa Milano,58287.79599271402
65,Justin Long,58256.88073394496
66,Ralph Fiennes,58256.88073394496
67,Keith Richards,58203.48304307975
48,Norman Reedus,57931.034482758616
812,Andy On,57647.60576476058
27,Jeff Dunham,57333.33333333334
1163,Sushmita Sen,57289.24080111784
38,Sebastian Stan,57260.65048098947
2288,Dennis Quaid,57050.592034445646
451,Mark Ruffalo,57023.64394993045
450,Jeffrey Dean Morgan,57023.64394993045
2880,James Hetfield,56910.56910569106
28,Paula Deen,56888.88888888889
68,Elizabeth Banks,56577.73689052438
30,Julie Andrews,56519.80418335559
4186,Joe Pesci,56502.242152466366
1509,Wesley Snipes,56466.30236794171
1823,Mandy Moore,56451.61290322581
2881,Jon Bon Jovi,56378.40420449116
1164,Ryan Seacrest,56357.70843036795
39,Method Man,56344.48007329363
52,Alex Morgan,56344.48007329363
452,Elsa Pataky,56096.43022716736
453,Christopher Lee,55632.82336578581
49,Lisa Kudrow,55606.61764705883
69,Martin Short,55453.71219065079
1824,Helen Hunt,55107.526881720434
29,John Carter,55086.62816525988
813,Mark Hamill,54858.20548582055
70,James Marsden,54737.8104875805
2289,Anne Heche,54676.49313332104
33,Patrick Stewart,54654.93283927744
40,Manuel Ferrara,54512.13925790197
1165,Danny Trejo,54494.643688868186
3725,Neil Patrick Harris,54362.722704431246
1825,Ashley Johnson,54211.469534050186
1510,Jim Jones,53734.06193078323
54,Chad Michael Murray,53595.968850206125
53,Ellen Pompeo,53595.968850206125
27,Bobby Flay,53339.51762523192
50,Sophia Bush,53333.333333333336
454,Milla Jovovich,53314.78905887807
52,Faith Hill,53162.23648029332
51,Viggo Mortensen,53162.23648029332
1167,Matt LeBlanc,53097.345132743365
1166,Ron Jeremy,53097.345132743365
814,Colin Firth,52998.60529986054
30,Hugh Hefner,52888.88888888889
28,Dylan Blue,52875.6957328386
1511,George Lucas,52823.31511839709
34,Dustin Hoffman,52802.22325150533
35,Gene Hackman,52802.22325150533
41,Farrah Fawcett,52679.79844251031
3726,Charlotte Gainsbourg,52658.99104658117
1168,Lucy Liu,52631.57894736842
3727,Michael Kelly,52535.40429419826
815,Jeff Bridges,52533.70525337053
4187,Rosario Dawson,52466.36771300448
1826,Mickey Rourke,52419.35483870968
1827,Alison Brie,52419.35483870968
53,John Stamos,52245.64619615032
3309,Cole Hauser,52078.57469164002
32,Luke Evans,52000.0
31,Seth MacFarlane,52000.0
71,Sarah Hyland,51930.14705882353
30,Rosamund Pike,51923.96847473342
1512,David McCallum,51912.56830601093
55,Josh Duhamel,51763.62803481447
1169,Kelly Reilly,51700.04657661853
3728,Mike Myers,51621.74508908177
3729,Anna Wintour,51536.42886449534
29,Dhirendra,51484.23005565863
56,Lil' Kim,51305.542830966566
3730,Liza Minnelli,51164.91548652352
816,Matthew Lillard,51139.00511390052
31,Sheryl Crow,51065.71936056839
54,Steven Crowder,51034.48275862069
55,Keri Russell,50987.59761139182
31,Hyun Bin,50973.12326227989
57,Carla Bruni,50847.45762711864
817,Jim Brown,50650.557620817846
1828,Elijah Wood,50627.24014336918
1829,John Goodman,50627.24014336918
56,Courtney Love,50574.71264367816
455,Alan Arkin,50570.88333279425
1513,Kiefer Sutherland,50546.44808743169
1514,Jason Sudeikis,50546.44808743169
3731,Joan Collins,50463.64506347536
58,Kelly Ripa,50389.372423270725
34,Fran Drescher,50222.22222222223
33,Luis Garcia,50222.22222222223
57,Ian McKellen,50114.94252873563
30,Sam Claflin,50092.76437847867
2290,David Schwimmer,50028.82422237261
3732,Alexis Bledel,49995.854780759895
72,Jimmy Page,49954.17048579285
1170,Kate Mara,49836.98183511877
3733,Kat Dennings,49794.42667884879
35,Bob Odenkirk,49777.777777777774
32,Tori Black,49605.93416782568
33,Bridget Fonda,49565.23890116397
2882,Marlon Wayans,49519.04834654708
73,Jane Seymour,49495.87534372137
61,James McAvoy,49473.2020155749
60,Jon Hamm,49473.2020155749
59,Peter Best,49473.2020155749
31,Donnie Yen,49314.12037259559
58,Gene Simmons,49195.402298850575
1515,Jim Parsons,49180.32786885246
1516,Judi Dench,49180.32786885246
456,Julianne Moore,49142.32730644413
34,Norah Jones,49142.32730644413
2291,Neil Gaiman,49055.163199083785
1517,Forest Whitaker,49033.40075878795
42,Scott Adkins,49015.11681172698
43,Anna Faris,49015.11681172698
74,Noam Chomsky,48906.78730526754
1171,Jeff Goldblum,48905.44946436889
4188,Keyshia Cole,48835.12544802868
59,America Ferrera,48735.63218390805
60,Black Prince,48579.285059578375
36,Benicio del Toro,48578.67342853329
62,Leighton Meester,48557.03160787907
44,Don Johnson,48557.03160787907
75,Billy Ray Cyrus,48532.180191353655
4189,David Hasselhoff,48430.4932735426
76,Gabriel Macht,48266.66058118453
77,Andy Samberg,48231.511254019286
37,Kelly McGillis,48170.44928207504
61,Toni Braxton,48120.98991750687
78,Sarah Michelle Gellar,47905.16720386786
1518,Abhishek Bachchan,47814.20765027322
1172,Nathan Fillion,47773.96091635007
3310,Josh Hartnett,47754.67470769921
63,Kit Harington,47640.86120018323
32,Chris Johnson,47619.04761904762
36,David Brown,47555.55555555556
33,Smokey Robinson,47534.42914260328
34,Randy Travis,47513.321492007104
2292,Emmy Rossum,47428.45160055068
2293,Steve Buscemi,47389.33523052629
1519,Prasanna,47358.83424408014
79,Sacha Baron Cohen,47334.55882352941
65,Paul Wesley,47182.77599633532
64,Ja Rule,47182.77599633532
80,Jason Lee,47095.66775520591
37,Peyton List,47090.18214127054
38,Joan Jett,47090.18214127054
35,Don King,47069.27175843694
38,Kirk Douglas,47021.0459369496
35,Chelsea Handler,47009.20417193017
81,Heather Locklear,46935.29825238437
82,John Malkovich,46907.81379266456
3734,Zinedine Zidane,46787.5387317961
1830,Lucy Hale,46594.98207885305
457,Bobby Deol,46456.41063180042
83,Will Arnett,46432.57468687557
36,Debby Ryan,46383.96920061713
2294,Peter Dinklage,46324.98303384379
1520,Matthew Broderick,46242.46570506306
32,David Harbour,46197.46947404755
2883,Kim Cattrall,46113.27060529595
66,Panou,46042.600307040215
1173,Nia Long,45730.21915334423
3735,Rudy Giuliani,45703.05027658717
3311,Nick Offerman,45452.76559895108
84,Rupert Grint,45224.22640931372
3736,Roger Moore,45211.10209611764
2295,Kevin Smith,45122.69339855546
37,Bruce Jenner,45078.139491933325
818,Tori Spelling,45022.71788517142
2884,Saoirse Ronan,44925.20668809302
2296,Katt Williams,44841.97972570065
819,Meat Loaf,44828.6544460112
4190,Melanie Griffith,44702.259074371774
85,Jenny McCarthy,44637.53022846355
2885,Alexander Skarsgård,44613.64508945068
1521,Mayim Bialik,44500.97355693737
39,Neve Campbell,44373.93520272133
86,Adam Scott,44311.03068115464
67,Ben Barnes,44209.19911682351
39,John Reed,44166.33502660041
62,Elizabeth Hurley,44122.397632098
458,Claire Danes,43993.36234983673
87,Kieran Culkin,43991.81183132814
459,John Cusack,43896.43264029527
68,Kerry Washington,43887.47100611506
820,Kim Basinger,43858.33725021008
2297,Henry Thomas,43658.5746759444
88,Norm Macdonald,43630.41195562249
33,Joey Diaz,43546.900076260295
36,Al Roker,43363.02988769387
38,Sage Stallone,43268.74236941894
63,Joe Manganiello,43257.306403639406
89,Tom Waits,43084.17831611548
40,Tara Reid,43081.752098186254
4191,James Spader,43057.449868855234
45,Bonnie Raitt,42969.11924030568
69,Michael Sheen,42939.64110579838
