,Actor name,Trends score
0,DA,79440677.9661017
0,Pink,13008823.529411765
0,Mario,8669230.76923077
416,Common,5916193.181818182
0,Snow,5609890.10989011
1,Rain,5569940.476190476
1,Drama,5286697.247706422
0,Soup,4216444.981862153
1,Guru,3579259.259259259
0,Emma,3512258.064516129
2,Batman,3412828.947368421
1,Walker,3145292.207792208
3696,Bruce Bruce,2784017.278617711
0,Reno,2745874.587458746
2,Egypt,2725931.6770186336
3,Eve,2574074.074074074
2,Cher,2496932.515337423
1,Monica Monica,2270106.2215478
4169,Monica,2244532.8031809144
2,Sebastian,2167022.0326936743
3,Berry,2106985.8329262338
3,Benz,2091651.542649728
1139,The Rock,2055387.713997986
0,Bono,1874708.1712062256
4,Ant,1863368.6690223797
1799,Elon Musk,1814012.738853503
0,Proof,1767377.201112141
4,Ella,1711406.3215758132
3,Dakota,1671415.4411764706
3296,Madonna,1538537.5494071147
2,Vitamin C,1522675.2175904715
1,Sunny Leone,1506487.488415199
3,Chloe,1434722.858451672
2,Eminem,1405336.7217280811
1,JoJo,1275435.380384968
1,Modi,1255000.0000000002
1140,Michael Jackson,1251979.5062878437
5,Lulu,1224919.8350893266
3,Roots,1221604.07974038
417,Helen,1192860.454334724
4,Matthew Perry,1189473.6842105263
5,Ahmed Ahmed,1179530.201342282
1800,Lal,1164874.5519713263
4,Shooter,1164179.1044776118
2,Selena Gomez,1154864.328259431
2,The Brain,1114100.185528757
5,Dolly,1054076.5391014975
3,Tom Cruise,1000000.0
6,Tango,990834.0971585702
4,LeBron James,956598.7599645704
1495,Donald Trump,911958.9141599413
7,Kanye West,878720.5686361617
7,Sting,868987.6316994961
1801,Mickey Mouse,823924.7311827958
7,,794942.5287356321
419,Brad Pitt,751970.3291608716
420,Bruce Willis,744264.5074224022
5,Basil,732020.1557489693
8,Taboo,703160.7879065506
8,Haji,702269.6929238986
6,Adam Sandler,694171.9561454126
4170,Will Smith,693721.9730941703
4,William Hill,692486.0853432282
9,The Fly,676133.7608795236
5,The Edge,658570.119156737
2,Johnny Depp,651690.597498842
6,Ryan Gosling,634742.4042272127
3,Leonardo DiCaprio,630847.6146364057
7,Usher,611517.3674588666
8,Meghan Markle,601741.5215398717
791,Salman Khan,579265.4579265458
5,Medusa,573018.0806675939
792,Arnold Schwarzenegger,570432.3570432358
10,Corey Corey,560696.2895098488
2263,Angelina Jolie,559741.6576964477
421,Jennifer Lopez,541956.42095503
1802,Jeremy Renner,528183.7160751566
3697,Ryan Reynolds,526724.5317496574
2849,Elton John,525586.9957856713
9,Megan Fox,520967.7419354839
7,Whitney Houston,520842.8767750801
2264,Jennifer Aniston,518299.2465016146
4,Mike Tyson,517369.1523853636
10,Pong,501833.1805682859
6,Dolly Parton,499271.1370262391
8,50 Cent,495648.1905634448
2265,Keanu Reeves,484391.8191603876
9,Katzen,480640.8544726303
11,Henry Cavill,479157.12322491984
2266,Tom Hanks,478471.4747039827
7,Bobby Brown,476546.5669612508
7,Katy Perry,471269.6941612605
8,Chris Brown,461333.3333333333
5,Snoop Dogg,458082.445576656
2267,Jamie Foxx,447485.6779121579
422,Sylvester Stallone,441817.3388966156
9,Angie,429683.9212093449
5,Slash,414192.9499072357
1141,John Cena,412203.0740568235
10,Bob Marley,406930.2532207908
1142,Priyanka Chopra,406148.1136469492
3698,Jack Black,404294.1982640476
2850,Jackie Chan,400382.226469183
2851,Shahrukh Khan,387482.08313425706
8,Emma Watson,382352.9411764706
9,Taj Mahal,379468.3776351971
1803,Scarlett Johansson,377240.14336917567
3699,Ade,376884.4221105527
12,Paul Logan,371772.8055077453
4171,Mariah Carey,370403.5874439462
423,Cillian Murphy,369028.8713910761
6,Clint Eastwood,366883.1168831169
793,Harrison Ford,366806.1366806137
4172,Paul Walker,365022.4215246637
3297,Ben Affleck,360438.5564184559
424,Nicolas Cage,359758.9244320816
10,Alan Rickman,356495.46827794565
6,Jason Statham,355257.06345530343
11,Sandra Bullock,355075.7923748277
2268,Aviva,353606.0279870829
7,Mako,349235.757295044
2852,Jim Carrey,348158.7757054041
3298,Chris Hemsworth,339424.3947007766
7,Tucker Carlson,338108.8825214899
794,Salma Hayek,337825.2788104089
13,David Bowie,337150.710032066
9,Chris Evans,329333.3333333334
3700,Karl Lagerfeld,328695.6521739131
4173,Denzel Washington,328398.38492597576
10,Brendan Fraser,326958.1056466302
3702,Julia Roberts,322978.52900867973
3701,Lil Wayne,322978.52900867973
795,Kevin Costner,322175.7322175732
11,Paris Hilton,320806.59945004585
8,Robert De Niro,315886.9847151459
11,Juvenile,313472.6545131169
9,Ice Cube,313107.92033348774
12,Freeway,311722.91296625225
12,Justin Timberlake,309742.6470588235
14,Gal Gadot,305542.83096655976
10,Boomer,301333.3333333333
1143,Anne Hathaway,297158.8262692129
2269,Vin Diesel,291173.3046286329
12,Blake Lively,288735.6321839081
11,Amber Heard,288135.593220339
2270,Abbas,283638.3207750269
13,Zac Efron,282169.11764705885
8,Paul McCartney,281278.9620018536
796,Sway,279869.8279869828
797,Robin Williams,272431.42724314274
11,Bradley Cooper,270102.1768103065
10,Al Pacino,270032.42241778603
425,George Clooney,268891.9796012981
12,Christian Bale,267521.7590471828
13,Shaggy,265231.3330279432
13,Jason Momoa,263448.2758620689
2271,Aishwarya Rai,260355.0295857988
1804,Mel Gibson,258960.5734767025
11,John Travolta,258452.98749421028
3703,Natalie Portman,258108.72544540884
15,Mark Wahlberg,256527.7141548328
8,Jake Gyllenhaal,253710.5751391466
426,Tom Hardy,252665.73945294388
14,Jimmy Buffett,251354.2795232936
9,Loon,250463.82189239335
15,Kate Winslet,250459.5588235294
16,Jerry Springer,250000.0
2272,Matthew McConaughey,246501.6146393972
427,Morgan Freeman,242929.9953639313
16,Steve Harvey,242785.15803939532
428,Kareena Kapoor,239221.140472879
12,Kirstie Alley,232902.03327171903
3704,Matt Damon,232526.26770214707
12,Pancho,232341.18169702357
17,Jonah Hill,231333.02794319743
9,Liam Hemsworth,230876.21696801108
14,Liam Neeson,230416.8575355016
2853,Nicole Kidman,229076.99665231947
17,Ashton Kutcher,224161.6903996325
13,Emma Stone,224000.0
13,Jamie Lee Curtis,221889.9521531101
3705,Trong Hai,220191.86843307447
1144,Drew Barrymore,216115.510013973
14,Hugh Jackman,216091.95402298847
2854,Pamela Anderson,213091.25656951743
3706,Eddie Murphy,212882.5947921425
18,Christina Aguilera,210937.5
1145,Chris Rock,209606.9868995633
4174,Reese Witherspoon,208781.36200716847
19,Robert Pattinson,208639.70588235292
13,DMX,204090.7069808804
20,Daniel Radcliffe,200733.2722273144
10,James Cameron,200648.74884151996
3299,Channing Tatum,200091.3659205117
21,Elizabeth Olsen,199908.29894543783
10,Martha Stewart,199907.2356215213
15,Mila Kunis,197774.4056651492
1496,Alexandra Daddario,197632.058287796
1146,Cameron Diaz,196087.5640428505
2855,Tabu,194457.71619684665
16,Heath Ledger,194228.12643151628
14,Monica Bellucci,194222.22222222225
3300,Tyler Perry,193238.921882138
17,Danny Masterson,191381.49556400508
429,Gwyneth Paltrow,191006.026889198
15,Emily Blunt,188965.5172413793
11,Billy Joel,188311.6883116883
12,Jared Leto,186920.2226345084
15,Lance Reddick,186915.8878504673
18,Nick Cannon,186440.67796610168
1497,Lindsay Lohan,185336.97632058288
13,Austin Butler,184601.11317254172
14,Marc Anthony,184280.63943161635
14,Antonio Banderas,183881.4265863826
11,Enrique Iglesias,181270.28280018544
430,Sunny Deol,179415.85535465926
1147,Aaliyah,178388.4489986027
2856,Jimmy Fallon,178213.09125656952
22,Chris Pratt,175551.4705882353
16,Barack Obama,173633.44051446946
14,Capone,173005.56586270873
23,Demi Lovato,172255.39733578317
17,Idris Elba,171954.02298850575
24,Will Ferrell,171954.02298850575
18,Daniel Craig,171781.9514429684
1148,Raquel Welch,167170.19133937563
2857,Val Kilmer,166746.2971810798
19,Russell Brand,166146.64586583464
431,Julian Sands,165525.8245177349
2858,Jeff Beck,164208.45624385448
18,Aubrey Plaza,164137.93103448275
1149,Jack Nicholson,163018.16488122963
25,Kristen Stewart,161009.17431192665
26,Willie Nelson,160091.74311926606
27,Mick Jagger,158233.6706531739
3707,Alicia Keys,156692.55367747828
4175,Jane Fonda,156502.24215246638
1150,Demi Moore,156497.43828598043
20,Ciara,154374.71369674758
21,Alec Baldwin,153916.62849289965
1151,Meryl Streep,152771.30880298087
3708,Chuck Norris,152581.0872544541
15,Charlize Theron,152385.3635942566
12,Janet Jackson,151992.58572752547
2859,Halle Berry,150023.88915432393
19,RuPaul,149793.86165826846
28,Jennifer Garner,149747.3587505742
20,Macaulay Culkin,146587.265231333
432,Gerard Butler,146499.7681965693
19,Joe Jonas,143831.72256964183
2860,Richard Gere,143812.70903010032
20,Stormy Daniels,142249.52741020796
15,GQ,140319.71580817053
22,Beyoncé,139715.9871736143
1498,Kevin McCarthy,138609.11270983212
23,Michelle Yeoh,138454.01174168297
21,Keke Palmer,137883.64635822264
21,Nick Jonas,137488.54262144823
16,Jennifer Coolidge,137164.04077849863
3709,Ezra Miller,136592.0511649155
3301,Jennifer Connelly,136135.22156235724
3302,Kevin James,133851.073549566
3710,Michael Worth,133851.073549566
25,Jessica Alba,133760.8795235914
24,Steven Spielberg,133760.8795235914
4176,Kaveri,131390.134529148
4177,Michael Douglas,131272.40143369176
22,Eric Clapton,131072.41063244728
2861,Kevin Bacon,130434.78260869563
13,Melissa McCarthy,130213.16033364228
2273,Hugh Grant,130177.5147928994
15,Taylor Lautner,128942.48608534323
23,Greta Gerwig,127757.35294117648
1805,Russell Crowe,127688.17204301077
29,Joaquin Phoenix,126838.23529411768
24,Carlee,126593.80692167576
16,Amanda Bynes,125945.70538495774
2862,Josh Hutcherson,125179.16865742952
22,Kaley Cuoco,125057.26065048098
16,Choppa,124444.44444444448
1152,Dave Chappelle,123893.8053097345
25,Cate Blanchett,123739.6883593034
17,CM Punk,123111.11111111112
1806,Pierce Brosnan,122311.82795698926
2863,Ray Stevenson,122214.7197839298
16,Tony Bennett,121824.1042345277
2865,Paul Rudd,121356.90396559965
2864,Brie Larson,121356.90396559965
1807,Patrick Swayze,120967.7419354839
2274,Meg Ryan,120494.88972565896
30,Tobey Maguire,120183.48623853212
17,Lenny Kravitz,119666.04823747682
26,Quentin Tarantino,119560.23820430598
26,Marilyn Manson,119156.73693858844
18,Eva Longoria,118738.40445269016
17,Kid Rock,118561.2788632327
1808,Woody Harrelson,118279.56989247313
1499,Owen Wilson,117941.71220400729
4178,Jaden Smith,117937.21973094168
433,Colin Farrell,117756.1427909133
2275,Orlando Bloom,117330.46286329384
23,Eva Mendes,117269.81218506642
4179,Nina Dobrev,116935.48387096774
2276,Zoe Saldana,116254.03659849302
27,Kate Hudson,115862.06896551725
798,Sean Connery,115760.11157601116
799,Danny DeVito,115295.21152952116
14,Hailee Steinfeld,114457.8313253012
18,Blake Shelton,114222.22222222223
31,Vanessa Hudgens,114022.98850574713
17,James Brown,113941.6396479852
434,Charlie Sheen,112192.86045433472
1500,Christina Applegate,112021.85792349729
27,Bella Thorne,111772.78973889144
435,Tom Hiddleston,111729.25359295316
32,Bill Clinton,111724.13793103446
2277,Keira Knightley,111410.11840688912
33,Vanilla Ice,111213.23529411768
1153,Ben Stiller,110852.35211923614
28,Olivia Wilde,109074.2438130156
436,Sharon Stone,108484.00556328234
18,Kevin Spacey,108383.51088466884
3711,Joey King,107811.786203746
24,Steven Seagal,107650.02290426016
18,Alexis Texas,107460.03552397867
29,Ray Liotta,106782.76810265813
1154,Jada Pinkett Smith,106660.45645086166
437,Jet Li,106629.57811775611
25,Martin Scorsese,104901.51168117268
