Actor name,Value,Score
Xi,78867.1140070972,8.6339
LeBron James,77456.0283534715,8.6274
Donald Trump,73841.5294569164,8.6102
Tofu,71533.8560380162,8.5988
Kanye West,71150.2127407963,8.5968
Nora,70439.0045960417,8.5932
Sting,70362.1345298682,8.5928
Mickey Mouse,66713.3807929927,8.5735
Chaos,65924.6005402951,8.5692
Brandy,65491.706610835,8.5668
Kim Kardashian,65162.2825360304,8.565
Leslie,64586.8707382581,8.5617
Buck,64016.9784939174,8.5585
Britney Spears,63564.142195253,8.5559
Raiz,62753.7590100475,8.5513
Jewel,61988.8681652914,8.5468
Diva,61783.49472538,8.5456
Brad Pitt,60887.2158046818,8.5402
Bruce Willis,60263.2735918738,8.5365
Basil,59271.8455343855,8.5304
Sid,57590.7008673587,8.5199
Taboo,56935.0956791501,8.5157
Haji,56862.9435071731,8.5152
Sasha,56544.8809142412,8.5131
Adam Sandler,56207.2678406726,8.5109
Will Smith,56170.8326063462,8.5107
William Hill,56070.7624821886,8.51
Yogi,55014.4937918217,8.503
The Fly,54746.7108940883,8.5012
The Edge,53324.5786603807,8.4915
Johnny Depp,52767.542160969,8.4877
Ryan Gosling,51395.2429342419,8.4779
Leonardo DiCaprio,51079.880897825,8.4757
Jennifer Lawrence,50715.6205966142,8.473
Usher,49514.706201677,8.4641
Pedro Pascal,48998.2451770155,8.4602
Meghan Markle,48723.1536402782,8.4581
Tom Brady,47440.9509679738,8.4482
Tom Holland,47077.4864859634,8.4454
Salman Khan,46903.2614416174,8.444
Lisa Marie,46648.5246272427,8.4419
Medusa,46397.4098240362,8.4399
Arnold Schwarzenegger,46188.0431692331,8.4382
Corey Corey,45399.7114731464,8.4318
Angelina Jolie,45322.4147089225,8.4312
Nicki Minaj,45274.0770387239,8.4308
Jennifer Lopez,43882.3398740277,8.4191
Jeremy Renner,42767.1606951221,8.4094
Ryan Reynolds,42649.0101943907,8.4084
La Niña,42638.9706362626,8.4083
Elton John,42556.9036377369,8.4076
Megan Fox,42182.8815585057,8.4043
Whitney Houston,42172.7711968688,8.4042
Jordan Black,41981.8632120737,8.4025
Jennifer Aniston,41966.8128506657,8.4024
Mike Tyson,41891.5029095966,8.4017
Pong,40633.5515888078,8.3902
Dolly Parton,40426.1023158828,8.3883
David Beckham,40326.7673429771,8.3874
50 Cent,40132.7514819807,8.3855
Keanu Reeves,39221.3204211829,8.3769
Katzen,38917.6039212591,8.3739
Henry Cavill,38797.4658504176,8.3728
Tom Hanks,38741.9487271462,8.3722
Bobby Brown,38586.088490923,8.3707
Katy Perry,38158.8188494395,8.3665
Chris Brown,37354.2693578148,8.3584
Speedy,37227.25722127,8.3571
Snoop Dogg,37091.0442055425,8.3557
Jamie Foxx,36233.0214158131,8.3468
Sylvester Stallone,35774.0546620603,8.342
Nelly,35112.5994213154,8.3349
Angie,34791.6089557282,8.3314
Big Boy,34592.5600574135,8.3292
Slash,33537.3013373037,8.3174
John Cena,33376.1806180012,8.3155
Bob Marley,32949.2390649997,8.3106
Joe Rogan,32905.5463788027,8.3101
Priyanka Chopra,32885.9090383017,8.3098
Jack Black,32735.7970702826,8.3081
Jackie Chan,32419.0437867301,8.3044
Cash Money,32189.7692265237,8.3016
Bruce Springsteen,31717.6406268033,8.296
Shahrukh Khan,31374.5161229571,8.2918
Emma Watson,30959.208282786,8.2867
Taj Mahal,30725.6444890711,8.2837
Scarlett Johansson,30545.2238323545,8.2815
Ade,30516.420997721,8.2811
Fabian,30218.2089699855,8.2773
Paul Logan,30102.5321896968,8.2759
Mariah Carey,29991.6662785016,8.2744
Cillian Murphy,29880.355193828,8.273
Clint Eastwood,29706.6129426733,8.2707
Harrison Ford,29700.3798374287,8.2707
Paul Walker,29555.9519984265,8.2688
Ben Affleck,29184.7953541841,8.2639
Nicolas Cage,29129.7653911425,8.2632
Alan Rickman,28865.5225727487,8.2596
Fuzzy,28768.2489273888,8.2583
Jason Statham,28765.2486406988,8.2583
Sandra Bullock,28750.5710783429,8.2581
Bilal,28736.0679547872,8.2579
Aviva,28631.5639074635,8.2565
Mako,28277.7020535683,8.2517
Jim Carrey,28190.4985989596,8.2505
Stephen King,28144.3408117047,8.2498
Chris Hemsworth,27483.2736985536,8.2406
Tucker Carlson,27376.7563655582,8.2391
Salma Hayek,27353.7929058444,8.2388
Green Day,27346.0480277458,8.2387
David Bowie,27299.1729119573,8.238
Beetlejuice,27186.5491086885,8.2364
Kevin Hart,27050.7581502401,8.2344
Chris Evans,26666.198067573,8.2289
Karl Lagerfeld,26614.5648729341,8.2281
Denzel Washington,26590.4950734023,8.2278
Brendan Fraser,26473.8753187393,8.2261
Lil Wayne,26151.6480550167,8.2213
Julia Roberts,26151.6480550167,8.2213
Kevin Costner,26086.64540854,8.2203
Paris Hilton,25975.7864038041,8.2186
Robert De Niro,25577.4440325379,8.2126
Zola,25507.5253796851,8.2115
Juvenile,25381.9551437692,8.2096
Ice Cube,25352.4225307854,8.2092
Freeway,25240.2781559481,8.2074
Justin Timberlake,25079.9355560069,8.2049
Muhammad Ali,24976.2605632667,8.2033
Gal Gadot,24739.8754514613,8.1996
Boomer,24399.0314302489,8.1941
George King,24065.3447339282,8.1887
Anne Hathaway,24061.0206037116,8.1887
Cassie,23857.3019871469,8.1853
Vin Diesel,23576.3714976222,8.1807
Blake Lively,23378.9925819291,8.1774
Jimmy Carter,23378.7304150616,8.1774
Amber Heard,23330.4072848113,8.1765
Abbas,22966.2620688482,8.1704
Zac Efron,22847.300343306,8.1683
Korn,22828.4532060704,8.168
Paul McCartney,22775.2242297048,8.1671
Sway,22661.1263144893,8.1651
Les Paul,22260.3655787715,8.158
Stephen Curry,22203.9737528542,8.157
Pelé,22108.8945129115,8.1553
Robin Williams,22058.8372430079,8.1544
Bradley Cooper,21870.2372833185,8.151
Al Pacino,21864.5892536211,8.1509
George Clooney,21772.2473284312,8.1493
Christian Bale,21661.3002453574,8.1472
Shaggy,21475.8439076403,8.1438
Jason Momoa,21331.4693462506,8.1412
Aishwarya Rai,21081.0084620154,8.1365
Mel Gibson,20968.0990203099,8.1343
Moby,20933.5888224209,8.1337
John Travolta,20926.9996629855,8.1336
Natalie Portman,20899.1246832877,8.133
Mark Wahlberg,20771.1098243154,8.1306
Jake Gyllenhaal,20543.0054104201,8.1262
Tom Hardy,20458.4048172328,8.1246
Jimmy Buffett,20352.215595851,8.1225
Loon,20280.1150303964,8.1211
Kate Winslet,20279.7698486999,8.1211
Jerry Springer,20242.5592618216,8.1203
Matthew McConaughey,19959.2941698908,8.1147
Jane Birkin,19814.4688846834,8.1118
Robbie Williams,19782.0824815254,8.1112
Shania Twain,19756.2801650939,8.1106
Morgan Freeman,19670.0993105137,8.1089
Steve Harvey,19658.3717980127,8.1087
Kareena Kapoor,19369.7924508112,8.1028
Kelly Clarkson,18995.8384046055,8.095
Sydney Sweeney,18872.7620185404,8.0924
Kirstie Alley,18858.1328428061,8.092
Matt Damon,18827.7070155636,8.0914
Pancho,18812.7205578547,8.0911
Tim Burton,18749.8525536657,8.0897
Jonah Hill,18731.0901094272,8.0893
Liam Hemsworth,18694.1020164806,8.0885
Liam Neeson,18656.9075743404,8.0877
Heidi Klum,18574.8745889087,8.086
Nicole Kidman,18548.4187210187,8.0854
Bob Dylan,18151.0100119478,8.0767
Ashton Kutcher,18150.4252085786,8.0767
Emma Stone,18137.3330985922,8.0764
Avril Lavigne,18078.2604728218,8.0751
Jamie Lee Curtis,17966.4820242484,8.0726
Trong Hai,17828.9877829109,8.0695
John Kennedy,17541.0146986838,8.063
Drew Barrymore,17498.9240754266,8.062
Hugh Jackman,17497.0167412527,8.0619
Pamela Anderson,17254.0495571379,8.0563
Eddie Murphy,17237.1541635612,8.0559
Christina Aguilera,17079.659377162,8.0522
Charlie Brown,17034.3045863631,8.0511
Chris Rock,16971.9274160251,8.0496
Reese Witherspoon,16905.0763727757,8.0481
Robert Pattinson,16893.6064427702,8.0478
John Mayer,16681.0317794904,8.0427
DMX,16525.2729233901,8.0389
Phil Collins,16376.8588571652,8.0352
Daniel Radcliffe,16253.4206355231,8.0321
James Cameron,16246.5767569393,8.032
Channing Tatum,16201.4453296992,8.0308
Elizabeth Olsen,16186.6223533319,8.0305
Martha Stewart,16186.5362557423,8.0305
Lisa Ann,16077.6481468556,8.0277
Mila Kunis,16013.8405085933,8.0261
Alexandra Daddario,16002.314607706,8.0258
Fares Fares,15910.0690601008,8.0235
Cameron Diaz,15877.2565425746,8.0226
Giorgio Armani,15847.6112564102,8.0219
Tabu,15745.2873761326,8.0192
Heath Ledger,15726.6974384102,8.0188
Monica Bellucci,15726.2193731841,8.0187
Tyler Perry,15646.6013115588,8.0167
Danny Masterson,15496.2050622817,8.0127
Gwyneth Paltrow,15465.8032746787,8.012
Emily Blunt,15300.5827247975,8.0076
Billy Joel,15247.6420413721,8.0062
Jared Leto,15134.9747356477,8.0031
Lance Reddick,15134.6237471563,8.0031
Nick Cannon,15096.1458901721,8.0021
Dakota Johnson,15022.779829528,8.0001
Lindsay Lohan,15006.7789063049,7.9997
Austin Butler,14947.1958927737,7.998
Marc Anthony,14921.2470580035,7.9973
Antonio Banderas,14888.9226992926,7.9964
Ozzy Osbourne,14831.1820334138,7.9949
Tom Jones,14748.4110762415,7.9926
Fernando Alonso,14728.5560795428,7.992
Tommy Lee,14725.3203652725,7.9919
Enrique Iglesias,14677.4977679596,7.9906
Sunny Deol,14527.3443381084,7.9864
Aaliyah,14444.1550019146,7.984
Jimmy Fallon,14429.9562439742,7.9836
Andrew Garfield,14271.7324291979,7.9791
Chris Pratt,14214.4441875291,7.9775
Akon,14174.5544383956,7.9763
Barack Obama,14059.1408377925,7.973
Capone,14008.3016784035,7.9715
Demi Lovato,13947.5603549529,7.9697
Will Ferrell,13923.1580026139,7.969
Idris Elba,13923.1580026139,7.969
Stevie Nicks,13920.1757660051,7.9689
Daniel Craig,13909.2253287826,7.9686
Kuma,13822.4124339483,7.966
Raquel Welch,13535.8100199895,7.9574
Val Kilmer,13501.4872095093,7.9563
Russell Brand,13452.9333003682,7.9548
Gwen Stefani,13452.0421129994,7.9548
Julian Sands,13402.6652486485,7.9533
George Foreman,13325.137931343,7.9509
Jeff Beck,13295.9976272338,7.95
Aubrey Plaza,13290.2871843132,7.9498
Jack Nicholson,13199.6194534468,7.947
Kristen Stewart,13036.9510108246,7.9419
Willie Nelson,12962.6663896803,7.9395
Mick Jagger,12812.2178216497,7.9347
Alicia Keys,12687.43321481,7.9306
Jane Fonda,12672.023645517,7.9301
Demi Moore,12671.6346753089,7.9301
Ciara,12499.7571621327,7.9245
Andrea Bocelli,12476.5459601164,7.9237
Alec Baldwin,12462.6658945892,7.9232
Meryl Streep,12369.9290878016,7.9201
Chuck Norris,12354.5268039258,7.9196
Charlize Theron,12338.6790127639,7.9191
Janet Jackson,12306.8756957877,7.918
Bob Ross,12278.5852423819,7.9171
Scott Jordan,12185.5478036123,7.9139
Halle Berry,12147.4698675814,7.9126
RuPaul,12128.8444866984,7.912
Jennifer Garner,12125.079135239,7.9118
Kylie Minogue,12119.7488573963,7.9116
Jazmin,11940.4787039701,7.9054
Macaulay Culkin,11869.2056138945,7.903
Gerard Butler,11862.1209582487,7.9027
Brooke Shields,11832.4312231871,7.9017
Joe Jonas,11646.0886713835,7.895
Richard Gere,11644.5491405796,7.895
Malika,11530.8019514779,7.8909
Stormy Daniels,11517.977954269,7.8904
Goldie,11414.977027343,7.8867
GQ,11361.7206513955,7.8847
Beyoncé,11312.8366007432,7.8829
Kevin McCarthy,11223.2127130291,7.8796
Michelle Yeoh,11210.6541508718,7.8791
Keke Palmer,11164.4715305695,7.8774
Sylvain Sylvain,11135.6820388627,7.8763
Nick Jonas,11132.4798873446,7.8762
Jennifer Coolidge,11106.2048961987,7.8752
Ezra Miller,11059.8907615982,7.8735
Jennifer Connelly,11022.9011603889,7.8721
Michael Worth,10837.9531543421,7.865
Kevin James,10837.9531543421,7.865
Steven Spielberg,10830.6501226787,7.8647
Jessica Alba,10830.6501226787,7.8647
Hulk Hogan,10676.9934540301,7.8587
Kaveri,10638.6903385,7.8572
Michael Douglas,10629.1574618526,7.8568
Jeremy Clarkson,10617.795235446,7.8563
Eric Clapton,10612.9641592685,7.8561
Kevin Bacon,10561.3352670374,7.8541
Carrie Underwood,10547.8469716771,7.8536
Melissa McCarthy,10543.3904588913,7.8534
Hugh Grant,10540.5042310077,7.8533
Taylor Lautner,10440.5036637967,7.8493
Greta Gerwig,10344.5431521809,7.8454
Russell Crowe,10338.9415584573,7.8451
Sneha,10294.0597863351,7.8433
Travis Barker,10282.5198617173,7.8428
Joaquin Phoenix,10270.1219784242,7.8423
Carlee,10250.3305551665,7.8415
Amanda Bynes,10197.8536201077,7.8393
John James,10173.6721372355,7.8383
Josh Hutcherson,10135.7869595744,7.8368
Kaley Cuoco,10125.9160393537,7.8364
Choppa,10076.2961658846,7.8343
Dave Chappelle,10031.7107846196,7.8324
Cate Blanchett,10019.2318986101,7.8319
CM Punk,9968.33584982147,7.8297
Chris Martin,9906.94665049155,7.8271
Pierce Brosnan,9903.61770336431,7.827
Ray Stevenson,9895.7548315725,7.8266
Adam Johnson,9883.99821676657,7.8261
Tony Bennett,9864.12659794306,7.8253
Brie Larson,9826.2972814194,7.8237
Paul Rudd,9826.2972814194,7.8237
Patrick Swayze,9794.78673959111,7.8223
Paul Smith,9793.61230473024,7.8222
Meg Ryan,9756.49978407325,7.8206
Tobey Maguire,9731.28536990322,7.8195
Lenny Kravitz,9689.38829230052,7.8177
Quentin Tarantino,9680.82082883269,7.8173
Godfrey,9664.68054981707,7.8166
Marilyn Manson,9648.14923569862,7.8159
Eva Longoria,9614.27675515088,7.8144
Kid Rock,9599.9348541854,7.8138
Ashanti,9598.62711292483,7.8137
Woody Harrelson,9577.12481204462,7.8128
Owen Wilson,9549.76839492128,7.8116
Jaden Smith,9549.40463831228,7.8115
Colin Farrell,9534.74279555433,7.8109
Orlando Bloom,9500.27539090875,7.8094
Eva Mendes,9495.36449111555,7.8091
Nina Dobrev,9468.29384827142,7.8079
Zoe Saldana,9413.11690108389,7.8054
Portia,9393.72631804279,7.8046
Elizabeth Holmes,9393.13001717619,7.8045
Kate Hudson,9381.37918892696,7.804
Sean Connery,9373.12367492994,7.8036
John Legend,9356.72253648952,7.8029
Danny DeVito,9335.48060796235,7.8019
James Best,9292.91525848442,7.8
Anna Nicole Smith,9292.26392756889,7.7999
Hailee Steinfeld,9267.67773432795,7.7988
Blake Shelton,9248.60040940114,7.7979
Vanessa Hudgens,9232.46840815035,7.7972
James Brown,9225.88157185383,7.7969
Guillermo del Toro,9140.01765485982,7.7929
Rick Ross,9101.87017168237,7.7911
Charlie Sheen,9084.28250600063,7.7903
Christina Applegate,9070.43639054299,7.7897
Bella Thorne,9050.26928059451,7.7887
Tom Hiddleston,9046.74414853778,7.7885
Bill Clinton,9046.32993217955,7.7885
Keira Knightley,9020.90369687205,7.7873
Vanilla Ice,9004.96202456037,7.7866
Ben Stiller,8975.7412283438,7.7852
Barbra Streisand,8975.47438967565,7.7852
Ronald Reagan,8943.96216257219,7.7837
Suzanne Somers,8904.46222887215,7.7818
Lily Collins,8845.17837567079,7.7789
Olivia Wilde,8831.76737729342,7.7783
Sharon Stone,8783.97564629808,7.776
Kevin Spacey,8775.8385683488,7.7756
Joey King,8729.54588540868,7.7733
Steven Seagal,8716.44787270374,7.7727
Alexis Texas,8701.0645494864,7.7719
Ray Liotta,8646.22604583763,7.7692
Jada Pinkett Smith,8636.32244239807,7.7687
Jet Li,8633.82221644685,7.7686
Imran Ali,8592.16544206816,7.7665
Will Young,8546.44904229774,7.7642
Martin Scorsese,8493.90026744326,7.7616
Courteney Cox,8488.81517431226,7.7613
Woody Allen,8483.66878659561,7.7611
Jeremy White,8477.16566269711,7.7607
Nassar,8475.80989934544,7.7607
Evan Peters,8456.80899989984,7.7597
Randy Orton,8446.53551932125,7.7592
Emma Roberts,8410.04325176752,7.7573
Jessica Simpson,8405.1695673482,7.7571
George Harrison,8404.69559712332,7.7571
David Warner,8400.8027320946,7.7569
John Jones,8380.08433102087,7.7558
Shia LaBeouf,8372.3300533291,7.7554
Sophia Loren,8356.76086680501,7.7546
Sukanya,8314.41906561864,7.7524
Anthony Hopkins,8308.44392972613,7.7521
James Franco,8278.84889064466,7.7506
Michael Keaton,8243.83166590224,7.7488
Riley Keough,8214.90576048451,7.7472
Winona Ryder,8211.69146847769,7.7471
Jordan Price,8197.6971788549,7.7463
Koda,8192.28280713719,7.7461
Toby Keith,8188.42942858259,7.7459
Michael Scott,8142.04885971327,7.7434
Aretha Franklin,8116.07552521035,7.742
David Attenborough,8085.58184362916,7.7404
Cameron Boyce,7974.62252183536,7.7345
Stanley Tucci,7963.06559196659,7.7338
Neil Armstrong,7960.66053810372,7.7337
Elizabeth Taylor,7944.66035544612,7.7328
Benji,7944.24967256395,7.7328
Steve Martin,7941.16898630582,7.7327
Mother Love,7940.40111394891,7.7326
Rachel McAdams,7937.53125429194,7.7325
Neil Young,7936.83078970704,7.7324
Tom Selleck,7922.21428161324,7.7316
Helen Mirren,7919.77167206807,7.7315
James Blunt,7900.42330902031,7.7304
Alex Jones,7893.32499517573,7.73
Lee El,7867.8626564816,7.7287
Ricky Gervais,7863.3487192051,7.7284
Jessica Chastain,7845.5167097278,7.7274
Jimmy Kimmel,7841.79545638407,7.7272
Bill Murray,7806.63207675282,7.7253
Dennis Rodman,7804.8058551747,7.7252
Paul Newman,7779.92714798608,7.7238
George Strait,7773.1427565395,7.7234
Larry Bird,7772.84805140011,7.7234
John White,7769.48652758534,7.7232
Ray Charles,7715.08862431691,7.7202
Bryan Cranston,7665.3808969398,7.7174
Emma Thompson,7654.44445205082,7.7168
Marlon Brando,7650.73105958612,7.7166
Bill Burr,7623.82102068606,7.715
Steve Carell,7618.06608456071,7.7147
David Tennant,7607.19458968548,7.7141
Izumi,7588.65733928162,7.713
Peter Gabriel,7566.61857885773,7.7118
Sushant Singh,7555.25652921881,7.7111
Eva Green,7539.2093698496,7.7102
Deakin,7532.96137923069,7.7098
Rob Lowe,7521.23535239238,7.7092
Michael Gambon,7517.7845660342,7.709
Jodie Foster,7516.53854942641,7.7089
Ian Somerhalder,7512.3031980744,7.7086
Hilary Duff,7475.89235025474,7.7065
Sanjay Dutt,7453.32725958285,7.7052
Sydney Park,7449.26180835035,7.705
Anna Kendrick,7449.26180835035,7.705
Aaron Johnson,7444.69179952292,7.7047
Chris Pine,7411.21022154124,7.7028
Chevy Chase,7411.21022154124,7.7028
Jason Bateman,7411.21022154124,7.7028
Christina Ricci,7367.69620191301,7.7002
Robert Redford,7354.10864748292,7.6994
Mike Johnson,7322.79110366415,7.6976
Cole Sprouse,7321.31314528747,7.6975
Michelle Pfeiffer,7313.19880695732,7.697
Angela Bassett,7282.44134778561,7.6952
Shilpa Shetty,7265.1119247449,7.6941
Chris Smith,7233.34117622425,7.6922
John Abraham,7205.14374879653,7.6905
Anthony Edwards,7195.70590342353,7.69
Naomi Campbell,7182.84360903347,7.6892
Johnny Hallyday,7152.97609789929,7.6874
Sinbad,7129.45483435226,7.6859
Tim McGraw,7112.99761043526,7.6849
Treat Williams,7078.19290744491,7.6828
Kristen Bell,7074.01264526024,7.6825
Jack White,7074.01264526024,7.6825
James Corden,7065.01383098753,7.682
Tony Hawk,7037.73565733582,7.6803
Kate Beckinsale,7037.73565733582,7.6803
Alanis Morissette,7029.57041889625,7.6798
Saif Ali Khan,7012.48421980264,7.6787
Brittany Murphy,7010.24956570643,7.6786
Dave Grohl,6985.37295491432,7.677
Viola Davis,6958.37974625118,7.6753
John Taylor,6956.5978308232,7.6752
Bharath,6947.58098653715,7.6747
Kurt Russell,6925.3726145877,7.6733
Jennifer Love Hewitt,6924.35130611277,7.6732
Dakota Fanning,6917.0554261501,7.6727
Seth Rogen,6903.85709763702,7.6719
Tom Sizemore,6900.65938707768,7.6717
Troye Sivan,6869.51941569467,7.6697
Jude Law,6865.02926386251,7.6694
Coolio,6861.88449553275,7.6692
James Jordan,6851.89449080768,7.6686
Riaz,6844.60636910515,7.6681
Albert Hall,6825.65221982683,7.6669
Jensen Ackles,6809.53739873779,7.6659
Anil Kapoor,6806.08662252202,7.6657
Katie Holmes,6797.0428347034,7.6651
Gisele Bündchen,6781.30342134761,7.6641
AC/DC,6776.56216321144,7.6638
John Good,6763.35156941201,7.6629
John Brown,6753.60408194229,7.6623
Bow Wow,6744.44851144898,7.6617
Whoopi Goldberg,6738.10898719863,7.6613
Edward Norton,6738.10898719863,7.6613
John Krasinski,6713.51942535906,7.6597
Dwight Howard,6681.82762838061,7.6576
Michael Smith,6674.41897469389,7.6571
Katherine Heigl,6638.6887901673,7.6548
Jerry Seinfeld,6630.86563626549,7.6543
John Henry,6626.16148498477,7.6539
Fergie,6603.68939773976,7.6525
Stan Lee,6602.41180224289,7.6524
Mumtaz,6600.6307180743,7.6523
Paul Simon,6585.57927984596,7.6513
James Gunn,6576.6556607925,7.6507
India Summer,6576.45587285472,7.6506
Cindy Crawford,6566.13481431848,7.65
Jessica Biel,6531.67419852936,7.6476
Jane How,6528.06308764197,7.6474
Jennette McCurdy,6516.50195889677,7.6466
Ethan Hawke,6514.84665897707,7.6465
Jesse James,6497.14796344181,7.6453
Miles Teller,6491.1265102783,7.6449
Valentino Rossi,6490.97182009854,7.6449
ABK,6474.64211683265,7.6438
Daniel Jones,6468.48698216104,7.6434
Neil Diamond,6453.88055255512,7.6424
Benedict Cumberbatch,6436.19061042844,7.6412
Guy Ritchie,6408.49363913605,7.6393
Bill Cosby,6384.48065771739,7.6376
Oscar Isaac,6382.62180207758,7.6375
Kyle Richards,6360.08752185851,7.6359
Marcus Aurelius,6333.27911420339,7.6341
Charles Barkley,6323.52838699634,7.6334
Tim Curry,6318.99051230168,7.6331
Dylan Sprouse,6315.59137808313,7.6329
Amy Adams,6285.70053329876,7.6308
Theo James,6273.87175386901,7.6299
Uma Thurman,6271.29700320413,7.6298
Dick Van Dyke,6268.90569628968,7.6296
Mads Mikkelsen,6267.16598263756,7.6295
Armie Hammer,6267.16598263756,7.6295
Gabrielle Union,6254.25279261798,7.6286
Aaron Carter,6234.25758341816,7.6271
Maya Angelou,6228.47977286818,7.6267
Leonard Cohen,6197.08047062183,7.6245
Don Omar,6194.24167975118,7.6243
Dwyane Wade,6193.82898136405,7.6243
Chester Bennington,6189.27171674401,7.624
Billy Idol,6172.78983607549,7.6228
Andrew Jackson,6167.08794714995,7.6224
Jammer,6157.15041220776,7.6217
James Jones,6153.43784789387,7.6214
Harry Belafonte,6144.89536129337,7.6208
Sean Penn,6142.56970703552,7.6206
Dave Matthews,6128.4812444047,7.6196
Bill Maher,6125.67130343983,7.6194
Eugenio Derbez,6117.9150431723,7.6188
Rebel Wilson,6115.91688540671,7.6187
Sarah Jessica Parker,6112.42114356008,7.6184
Hilary Swank,6103.28419954421,7.6178
Shannen Doherty,6082.96787712092,7.6163
Betty White,6082.96787712092,7.6163
Queen Latifah,6081.21390897562,7.6162
Harry Taylor,6079.06266592243,7.616
Willem Dafoe,6075.58054731839,7.6158
Bobby Lee,6046.47874054412,7.6137
Zooey Deschanel,6045.87660957751,7.6136
A Martinez,6044.20522337505,7.6135
Patrick Dempsey,6038.07696369297,7.613
Triple H,6029.30499712549,7.6124
Paul Reubens,6018.69357842779,7.6116
Rowan Atkinson,6013.93579791471,7.6113
Satish Kaushik,6010.1619251594,7.611
David Lee,6008.92297196931,7.6109
Ice T,6004.45363538936,7.6106
Reba McEntire,6003.35399794524,7.6105
Carlos Antonio,5996.38076246414,7.61
Amy Schumer,5968.59883658718,7.6079
Terry Crews,5947.60458087924,7.6064
Amanda Seyfried,5937.32260658379,7.6056
Liv Tyler,5918.99009471324,7.6042
Brother Love,5898.01187125018,7.6027
Belladonna,5897.51153940382,7.6026
David James,5894.10278779156,7.6024
David Crosby,5890.84463539459,7.6021
Michael Caine,5869.58967443154,7.6005
Ringo Starr,5863.1060740015,7.6
Peter New,5862.59913047293,7.6
Nae,5860.63438663752,7.5998
John Hopkins,5860.4202718604,7.5998
Vera Wang,5844.35699107869,7.5986
Jamie Lynn Spears,5821.63828394493,7.5969
Robert Smith,5820.42650294416,7.5968
Goldie Hawn,5809.52373433445,7.596
Bam Margera,5807.52045028813,7.5958
Cyndi Lauper,5786.23773677356,7.5942
Ludacris,5786.23773677356,7.5942
Yoko Ono,5768.04107998143,7.5928
Tom Felton,5767.64096614402,7.5927
