Actor name,Value,Score
DA,6432330.5261124,10
India,4057344.96913312,9.8737
Pink,1053327.52488279,9.4839
Dragon,796725.199298243,9.3992
Mario,701949.670402245,9.3602
Bear,629345.1365793,9.3264
Stream,588975.285919303,9.3058
Joe,549268.249820771,9.2839
Taylor Swift,517489.781662213,9.2652
Tank,510432.879227948,9.2609
Common,479035.564349358,9.2408
Solar,465621.659130273,9.2318
Miles,458954.585637892,9.2273
Snow,454234.13200703,9.224
Rain,450999.400696419,9.2217
Fly,448683.07355803,9.2201
Drama,428065.129344026,9.2051
Snake,409893.984958531,9.1913
August,368155.314259337,9.1568
Soup,341406.54967822,9.1325
Shadow,314851.5399366,9.1062
Kelly Kelly,308836.522024356,9.1
Guru,289813.470675917,9.0792
Emma,284388.368055114,9.073
Batman,276337.568870262,9.0636
Nas,270148.974792249,9.0562
Walker,254675.055647918,9.0368
Cooper,249043.967457463,9.0294
Charlie,243330.608654637,9.0217
Jazz,230332.242236392,9.0035
Li Li,230015.811612093,9.0031
Bruce Bruce,225422.538993417,8.9964
Reno,222334.116248655,8.9918
Egypt,220719.334062905,8.9893
Eve,208423.387955052,8.9702
Cher,202177.217657948,8.96
Earthquake,201519.209367686,8.9589
Kar,200840.987058196,8.9578
Monica Monica,183811.038881245,8.928
Monica,181740.353133969,8.9242
Sebastian,175464.287673899,8.9123
WC,171745.033410503,8.905
Berry,170603.142347311,8.9028
Benz,169361.521228671,8.9003
The Rock,166425.230426497,8.8944
Karma,163926.536512714,8.8892
Bono,151795.565017053,8.863
Ant,150877.402837229,8.8609
Elon Musk,146881.041471765,8.8517
Proof,143104.95092602,8.8428
Ella,138572.975542218,8.8318
Dakota,135334.904476554,8.8236
Rihanna,131865.814619867,8.8147
Tiffany,126668.195080083,8.8007
Madonna,124575.750081645,8.795
Vitamin C,123291.373314329,8.7914
Sunny Leone,121980.64904575,8.7877
AMG,120960.706566412,8.7848
Chloe,116169.849945992,8.7707
Eminem,113790.447489579,8.7635
Bravo,112689.036106241,8.7601
Enzo,106634.910397096,8.7408
JoJo,103272.305088267,8.7295
Modi,101617.647494344,8.7238
Michael Jackson,101373.077402471,8.723
Lulu,99182.049411106,8.7153
Roots,98913.5719145108,8.7143
Jana,97774.0110288612,8.7103
Bailey,97434.4286200211,8.709
Helen,96586.1937518161,8.7059
Matthew Perry,96311.9661720357,8.7049
Remedy,95577.6797176166,8.7022
Ahmed Ahmed,95506.8400071179,8.702
Lal,94320.1686034702,8.6976
Shooter,94263.8580550497,8.6973
Maestro,93670.6447871905,8.6951
Selena Gomez,93509.6384166212,8.6945
Lu Lu,91700.7940683781,8.6876
Bud,91204.1541303693,8.6857
Sana,90939.3169844993,8.6846
The Brain,90208.9561166895,8.6818
Pitbull,87263.2606519981,8.67
Bitch,87128.6394149696,8.6694
Dolly,85348.8272370317,8.6621
Justin Bieber,84674.0852476706,8.6592
Nivea,83990.9647260293,8.6564
Valentino,83935.3443194406,8.6561
Floyd,83550.0807401908,8.6545
Jin,82702.4178125222,8.6508
Moose,81117.5896169812,8.6439
Devon,81043.248983307,8.6436
Tom Cruise,80970.2370472864,8.6433
Tango,80228.0717214634,8.64
Michael Jordan,79562.3898805808,8.637
John Lewis,79221.5840406314,8.6355
